slug,name,pr_number,pr_url,mirror_branch,layout,missing_git_ref,part_a_chars,part_b_chars,part_c_chars,full_constitution_chars,total_content_chars
"aadi-kulkarni","Aadi Kulkarni","73","https://github.com/nwspk/politech-awards-2026/pull/73","project-mirror-v2/aadi-kulkarni","split_files","false","9768","6491","9712","0","25971"
"alessandro-pedori","Alessandro Pedori","82","https://github.com/nwspk/politech-awards-2026/pull/82","project-mirror-v2/alessandro-pedori","split_files","false","6805","5291","3632","0","15728"
"alexandra-ciocanel","Alexandra Ciocanel","83","https://github.com/nwspk/politech-awards-2026/pull/83","project-mirror-v2/alexandra-ciocanel","split_files","false","11137","5755","8514","0","25406"
"asil-sidahmed","Asil Sidahmed","87","https://github.com/nwspk/politech-awards-2026/pull/87","project-mirror-v2/asil-sidahmed","split_files","false","7493","4856","9203","0","21552"
"chris-owen","Chris Owen","85","https://github.com/nwspk/politech-awards-2026/pull/85","project-mirror-v2/chris-owen","split_files","false","8813","5470","6063","0","20346"
"safeguard","Safeguard","81","https://github.com/nwspk/politech-awards-2026/pull/81","project-mirror-v2/safeguard","split_files","false","7807","4886","4439","0","17132"
"david-powell","David Powell","71","https://github.com/nwspk/politech-awards-2026/pull/71","project-mirror-v2/david-powell","split_files","false","5074","2317","2643","0","10034"
"davit-jintcharadze","Davit Jintcharadze","86","https://github.com/nwspk/politech-awards-2026/pull/86","project-mirror-v2/davit-jintcharadze","single_file","false","0","0","0","13796","13796"
"fatima-sarah-khalid","Fatima Sarah Khalid","67","https://github.com/nwspk/politech-awards-2026/pull/67","project-mirror-v2/fatima-sarah-khalid","split_files","false","10095","6669","10256","0","27020"
"francesca-galli","Francesca Galli","88","https://github.com/nwspk/politech-awards-2026/pull/88","project-mirror-v2/francesca-galli","single_file","false","0","0","0","5373","5373"
"beacon","Beacon","72","https://github.com/nwspk/politech-awards-2026/pull/72","project-mirror-v2/beacon","split_files","false","9392","7129","7386","0","23907"
"gamithra-marga","Gamithra Marga","68","https://github.com/nwspk/politech-awards-2026/pull/68","project-mirror-v2/gamithra-marga","split_files","false","8230","5795","12397","0","26422"
"hannah-orourke","Hannah O'Rourke","84","https://github.com/nwspk/politech-awards-2026/pull/84","project-mirror-v2/hannah-orourke","split_files","false","8630","3500","3748","0","15878"
"huda-abdirahim","Huda Abdirahim","74","https://github.com/nwspk/politech-awards-2026/pull/74","project-mirror-v2/huda-abdirahim","split_files","false","7898","5821","9575","0","23294"
"jamie-coombes","Jamie Coombes","70","https://github.com/nwspk/politech-awards-2026/pull/70","project-mirror-v2/jamie-coombes","split_files","false","9524","5701","10834","0","26059"
"signal","Signal","80","https://github.com/nwspk/politech-awards-2026/pull/80","project-mirror-v2/signal","split_files","false","469","386","380","0","1235"
"nicholas-botti","Nicholas Botti","75","https://github.com/nwspk/politech-awards-2026/pull/75","project-mirror-v2/nicholas-botti","split_files","false","12097","7064","12416","0","31577"
"tuna-acisu","Tuna Acisu","79","https://github.com/nwspk/politech-awards-2026/pull/79","project-mirror-v2/tuna-acisu","split_files","false","11691","7414","9428","0","28533"
